panel,script,description
Figure1B,R/figure1B_spatial_feature_maps.R,Spatial maps of TRBC/IGH gene expression and VDJ UMI counts
Figure1C,R/figure1C_correlation_gene_expression_vs_umi.R,Correlation between spatial gene expression and VDJ UMI counts
Figure1D,R/figure1D_E_clonotype_density.R,Unique clonotype counts per sample
Figure1E,R/figure1D_E_clonotype_density.R,Unique clonotypes per mm2
Figure1F,R/figure1F_G_gene_usage.R,TRB J gene usage by sample
Figure1G,R/figure1F_G_gene_usage.R,IGH J gene usage by sample
Figure1H,R/figure1H_shm_rate.R,Pooled IGH SHM rate by isotype
Figure1I,R/figure1I_L_clone_size_composition.R,IGH clone size composition
Figure1J,R/figure1J_K_M_N_spatial_expansion.R,IGH clonotype spatial scatter
Figure1K,R/figure1J_K_M_N_spatial_expansion.R,IGH nearest-neighbor distance by clone size
Figure1L,R/figure1I_L_clone_size_composition.R,TRB clone size composition
Figure1M,R/figure1J_K_M_N_spatial_expansion.R,TRB clonotype spatial scatter
Figure1N,R/figure1J_K_M_N_spatial_expansion.R,TRB nearest-neighbor distance by clone size
FigureS1C,R/figureS1C_coverage_curves.R,IGH and TRB sample coverage curves
FigureS1D,R/figureS1D_E_vgene_usage.R,IGH V gene usage by sample
FigureS1E,R/figureS1D_E_vgene_usage.R,TRB V gene usage by sample
FigureS1F,R/figureS1F_G_per_sample_shm_distance.R,Per-sample IGH SHM rate
FigureS1G,R/figureS1F_G_per_sample_shm_distance.R,Per-sample nearest-neighbor distance by clone size
