sample_id,region_label,marker_genes,used_for
Tonsil2,Follicular_DZ,"AICDA;MKI67","Figure2A;Figure2C region annotation"
Tonsil2,Follicular_LZ,"LYAR;PDCD1","Figure2A;Figure2C region annotation"
Tonsil2,Inter_LZ_DZ,"IGKV3-11;MYH11","Figure2A;Figure2C region annotation"
Tonsil2,Mantle_zone,"FCRL1;FCER2","Figure2A;Figure2C region annotation"
Tonsil2,Inter-Follicular_CD5_pos,"LAG3;ZAP70;CD5;CD7","Figure2A;Figure2C region annotation"
Tonsil2,Inter-Follicular_CD5_neg,"HBA2","Figure2A;Figure2C region annotation"
Tonsil2,Muscle_Mesenchymal,"MASP1;TNXB;COL12A1;GPX3;DCN;LUM","Figure2A;Figure2C region annotation"
Tonsil2,Vascular_Mesenchymal,"SPARCL1;DST;KRT15;KRT14","Figure2A;Figure2C region annotation"
Tonsil2,Vascular,"CLDN4;CLDN1;TNFRSF6B;CXCL10","Figure2A;Figure2C region annotation"
LN2,Follicular_DZ,"AICDA;SUGCT","FigureS3A;FigureS3C region annotation"
LN2,Follicular_LZ,"PDCD1;COL15A1","FigureS3A;FigureS3C region annotation"
LN2,Epithelial_Muscle,"TNFRSF6B;SPARCL1;SELD;ACKR1","FigureS3A;FigureS3C region annotation"
LN2,Inter-Follicular_CXCL10_pos,"CXCL10;CHI3L1;HBA1","FigureS3A;FigureS3C region annotation"
LN2,Mantle_zone,"CXCL13;CLEC4G","FigureS3A;FigureS3C region annotation"
LN2,Subepithelial_Mesenchymal_Vascular,"SCD1","FigureS3A;FigureS3C region annotation"
LN2,Inter-Follicular_IL7R_pos,"IL7R","FigureS3A;FigureS3C region annotation"
LN2,Inter-Follicular_SDC1_pos,"SDC1","FigureS3A;FigureS3C region annotation"
Tonsil1,Follicular_zone,"MS4A1;CD79A","FigureS4B;FigureS4D region annotation"
Tonsil1,Mantle_zone,"FCRL1;IGHM","FigureS4B;FigureS4D region annotation"
Tonsil1,Subepithelial_Mesenchymal_Vascular,"COL1A1;COL1A2;DCN","FigureS4B;FigureS4D region annotation"
Tonsil1,Epithelium-like_structures,"KRT5;KRT14;KRT17","FigureS4B;FigureS4D region annotation"
Tonsil1,Inter-Follicular_CD6_pos,"CD6;CD3D;CD3E","FigureS4B;FigureS4D region annotation"
Tonsil1,Inter-Follicular_XBP1_pos,"XBP1;JCHAIN;MZB1","FigureS4B;FigureS4D region annotation"
